SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,VoxelCount,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius
Scan030_041,0.677,0.087,-5.75E-05,4.04E-06,45705.86,45705.86,7638.19618,52.438,0.40952,0.84,44.04,91.56,52.54,98.5,62.32,109.2,67.61106,74.79086,85.44304,67.61106,74.79086,85.44304,30.60054,21.40688,14.92004,-3.62774,-9.51348,-15.87338,1.4654,2.2599,1.53974,67.86,73.44,83.84,16.0933
Scan030_042,0.669,0.083,-5.29E-06,-8.88E-06,46105.61224,46105.61224,7583.318898,50.78491837,0.389918367,0,60.32653061,110.3265306,57.30612245,99.89795918,59.08163265,104.3673469,85.73383673,78.91083673,82.04222449,85.73383673,78.91083673,82.04222449,30.48544898,21.53020408,13.85606122,-6.854020408,-4.027204082,-7.029183673,1.474367347,2.48,1.706326531,86.14285714,78.71428571,80.28571429,16.12920408
Scan030_043,0.623,0.084,0.0001236,5.44E-06,36942.7193,36942.7193,6475.262333,47.64666667,0.43545614,0.877192982,54.47368421,97.85964912,52.49122807,95.78947368,47.77192982,91.1754386,76.24905263,73.99994737,69.39698246,76.24905263,73.99994737,69.39698246,29.39354386,19.59350877,13.25119298,-11.79873684,-2.114122807,0.633842105,1.589421053,2.447508772,1.547210526,74.84210526,73.96491228,67.77192982,15.43863158
Scan030_044,0.661,0.094,-9.89E-05,-1.58E-05,35401.14286,35401.14286,6421.900952,49.36238095,0.409714286,-0.111111111,57.15873016,98.74603175,53.74603175,96,56.04761905,99.25396825,77.95909524,74.69038095,78.18019048,77.95909524,74.69038095,78.18019048,27.09860317,18.95044444,13.5435873,-7.396412698,-2.527492063,19.28261905,1.483920635,2.166888889,1.464460317,77.63492063,74.11111111,76.77777778,14.65611111
Scan030_045,0.648,0.079,-4.45E-05,4.16E-07,45549.16667,45549.16667,7317.1275,49.4074375,0.380645833,0.5625,49.5625,94.625,51.27083333,94.10416667,52.97916667,100.7916667,73.24108333,72.8024375,77.33860417,73.24108333,72.8024375,77.33860417,30.10933333,20.44735417,13.64258333,-13.0746875,-5.917104167,17.06320833,1.5916875,2.532395833,1.586479167,72.54166667,72.04166667,76.5625,15.29160417
Scan030_046,0.686,0.084,-0.0001364,-2.75E-05,48278.77083,48278.77083,7848.185771,49.56245833,0.382770833,-1.166666667,47.95833333,96.41666667,52.04166667,95.375,47.16666667,92.60416667,73.19658333,73.80854167,68.9548125,73.19658333,73.80854167,68.9548125,30.4619375,20.95995833,14.03954167,-2.207625,4.409625,-13.58254167,1.594875,2.569854167,1.634145833,74.1875,72.97916667,66.85416667,16.1944375
Scan030_047,0.691,0.092,-0.000129,-1.16E-05,40866.89474,40866.89474,7033.057368,50.13222807,0.383736842,-0.052631579,44.87719298,90.19298246,45.19298246,88.14035088,48.9122807,90.89473684,67.43301754,66.74450877,70.26940351,67.43301754,66.74450877,70.26940351,28.76987719,19.68533333,13.30038596,-3.863035088,2.26822807,17.25787719,1.588894737,2.471561404,1.558175439,65.52631579,65.54385965,68.35087719,14.77770175
Scan030_048,0.708,0.093,-0.0002131,-2.60E-05,42651.08929,42651.08929,7317.543125,52.18626786,0.394089286,-0.821428571,46.78571429,94.91071429,62.64285714,103.6785714,54.75,100.9464286,71.13371429,82.68889286,77.65291071,71.13371429,82.68889286,77.65291071,30.083875,20.75857143,13.65823214,-22.34903571,5.949446429,13.94444643,1.565392857,2.520446429,1.614142857,70.35714286,82.08928571,75.91071429,15.35114286
Scan030_049,0.703,0.088,-0.0002465,-1.11E-05,43896.62963,43896.62963,7230.908019,49.2315,0.394648148,0.018518519,55.12962963,102.4074074,62.25925926,104.7037037,57.55555556,101.7777778,78.57516667,83.72227778,79.14087037,78.57516667,83.72227778,79.14087037,29.49574074,20.44187037,13.91781481,-2.607203704,-3.955611111,22.17738889,1.495611111,2.522611111,1.70662963,77.48148148,82.46296296,76.2037037,15.38272222
Scan030_050,0.706,0.09,-0.0001936,-3.82E-06,45770,45770,7652.535096,52.88126923,0.378442308,0.461538462,54.17307692,100.2884615,52.21153846,98.82692308,53.11538462,98.11538462,76.85630769,75.61936538,75.36715385,76.85630769,75.61936538,75.36715385,30.46103846,21.10130769,14.08963462,-17.40157692,-1.718057692,-15.86286538,1.489269231,2.407346154,1.620576923,75.71153846,75.25,74.21153846,15.80128846
