SampleName,VolumeDensity,SurfaceAreaDensity,MeanBreadthDensity,EulerNumberDensity,Volume,SurfaceArea,MeanBreadth,Sphericity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Box.Z.Min,Box.Z.Max,Centroid.X,Centroid.Y,Centroid.Z,Elli.Center.X,Elli.Center.Y,Elli.Center.Z,Elli.R1,Elli.R2,Elli.R3,Elli.Azim,Elli.Elev,Elli.Roll,Elli.R1/R2,Elli.R1/R3,Elli.R2/R3,InscrBall.Center.X,InscrBall.Center.Y,InscrBall.Center.Z,InscrBall.Radius, Yield Stress 
Scan022_010,0.802,0.103,-0.001,-1.01e-05,62970.74419,11128.32033,77.65218605,0.273255814,0.069767442,52.65116279,112.627907,47.79069767,100.1162791,46.79069767,103.3255814,83.46781395,74.00902326,75.57316279,83.46781395,74.00902326,75.57316279,36.43995349,23.98865116,16.62544186,-6.665813953,-1.166348837,-16.63823256,1.550186047,2.315,1.50027907,83.48837209,73.06976744,75.18604651,16.79069767,62.39872741699219
Scan023_001,0.698,0.143,-0.002,-4.88e-06,28409.9759,7409.66641,63.04025301,0.234650602,0.361445783,52.8313253,100.9036145,52.93975904,98.62650602,55.87951807,102.8313253,77.00507229,75.65160241,79.52359036,77.00507229,75.65160241,79.52359036,29.90944578,19.7916988,14.09568675,-3.079722892,0.965578313,6.364771084,1.532698795,2.192120482,1.452650602,75.54216867,74.07228916,78.39759036,10.86345783,75.06600952148438
Scan023_002,0.674,0.144,-0.001,-1.13e-07,27416.60241,7382.265711,63.6636988,0.225831325,0.469879518,57.78313253,104.1807229,55.72289157,103.0120482,52.71084337,101.060241,81.00209639,79.60740964,76.82072289,81.00209639,79.60740964,76.82072289,30.22974699,19.96608434,14.32885542,12.89563855,-0.276216867,-11.34809639,1.549048193,2.179481928,1.418638554,79.74698795,79.53012048,76.42168675,10.61855422,70.21772766113281
Scan023_003,0.652,0.145,-0.001,-2.15e-06,27170.65432,7523.068222,63.12567901,0.215345679,0.49382716,48.5308642,99.2345679,55.40740741,100.7530864,50.07407407,94.22222222,74.07077778,78.0568642,72.15209877,74.07077778,78.0568642,72.15209877,30.30475309,19.62535802,13.6707284,3.196259259,0.845098765,-1.205419753,1.568395062,2.28545679,1.480407407,72.37037037,76.39506173,70.65432099,10.06169136,71.75850677490234
Scan023_004,0.651,0.145,-0.001,2.61e-06,27815.01266,7690.048823,62.46679747,0.215303797,0.632911392,50.05063291,96.65822785,51.91139241,98.43037975,48.94936709,95.98734177,72.98962025,75.10655696,72.32491139,72.98962025,75.10655696,72.32491139,30.02632911,19.80606329,14.09288608,-0.919797468,-3.024101266,-7.457835443,1.548974684,2.195924051,1.435164557,72.25316456,73.72151899,71.89873418,9.83978481,71.92796325683594
Scan023_005,0.644,0.142,-0.001,5.14e-06,25863.38095,7080.675619,58.73764286,0.232309524,0.726190476,52.47619048,96.71428571,49.67857143,94.52380952,50.70238095,94.97619048,74.60311905,72.27639286,72.82697619,74.60311905,72.27639286,72.82697619,28.76578571,18.7859881,13.82495238,6.916202381,0.930059524,31.08364286,1.543166667,2.136488095,1.396821429,74.19047619,71.63095238,71.33333333,9.873035714,65.93860626220703
Scan023_006,0.651,0.144,-0.001,4.69e-06,24978.42045,6850.342386,58.45703409,0.232965909,0.75,51.31818182,98.92045455,49.40909091,92.625,55.94318182,101.625,75.53718182,70.76223864,78.53679545,75.53718182,70.76223864,78.53679545,29.63634091,18.50115909,13.47704545,7.067431818,5.190261364,-0.272079545,1.610931818,2.247977273,1.405477273,74.47727273,69.10227273,77.21590909,10.07576136,72.39533996582031
Scan023_007,0.66,0.141,-0.001,-1.7e-06,33260.61194,8816.059806,66.66740299,0.210298507,0.47761194,50.19402985,101.2985075,50.89552239,97.53731343,53.92537313,103.5373134,75.49732836,73.75726866,78.90710448,75.49732836,73.75726866,78.90710448,32.34313433,20.86823881,14.57156716,6.020731343,-4.610731343,-12.31865672,1.581791045,2.288059701,1.46358209,74.31343284,71.11940299,78.07462687,10.20902985,68.21978759765625
Scan023_009,0.676,0.147,-0.001,6.05e-06,26521.05814,7196.70343,62.0915,0.237093023,0.76744186,55.72093023,100.8488372,48.24418605,94.01162791,48.62790698,96.3255814,78.26115116,71.35326744,72.57448837,78.26115116,71.35326744,72.57448837,29.58022093,19.59567442,13.69509302,1.720174419,3.286627907,-9.898,1.506069767,2.198360465,1.46655814,76.75581395,71.39534884,70.41860465,10.06596512,75.72333526611328
Scan023_010,0.651,0.143,-0.001,-1.06e-06,28535.68831,7810.834532,62.1254026,0.222441558,0.454545455,45.49350649,91.76623377,51.46753247,96.8961039,49.66233766,94.79220779,68.5195974,73.87009091,72.47464935,68.5195974,73.87009091,72.47464935,29.78462338,19.73690909,13.72354545,-6.095597403,2.580493506,19.39954545,1.556038961,2.271337662,1.471220779,66.93506494,72.7012987,71.53246753,9.878792208,68.74658966064453
