Features[1, 2, 3, 4], 4 features
Initial linear-valued hyperparameters | Optimal hyperparameters | Logp | RMSE
4.330e+00 3.083e-05 1.872e-02 1.761e+01 1.036e-01 6.135e+01 | 1.054e+00 3.083e-05 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
3.442e-01 3.091e-04 1.861e+01 1.925e+00 6.677e-04 1.074e+00 | 1.054e+00 3.091e-04 1.515e+00 1.258e+00 1.416e+00 5.528e-02 | -600.057 | 2.292
1.952e-01 8.094e+04 1.335e+01 2.323e-04 2.325e-03 5.212e+00 | 1.281e+00 8.094e+04 1.182e+00 3.544e-01 9.455e-01 3.908e-01 | -514.149 | 14.106
6.312e+00 1.341e+03 2.046e-02 9.116e+03 1.765e+02 6.825e-01 | 1.198e+00 7.113e-01 2.134e+00 2.032e+03 2.570e+00 1.903e-01 | -327.279 | 10.051
1.219e+00 1.079e-01 8.222e-02 4.365e-04 8.203e-04 3.174e+01 | 1.224e+00 6.891e-01 2.587e+00 3.254e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
6.458e+00 1.807e+04 1.081e-04 1.544e-04 2.050e-01 3.108e+00 | 1.001e+00 1.807e+04 9.844e-01 1.557e-04 1.427e+04 3.460e-03 | -645.305 | 0.125
2.305e+00 5.335e+00 1.849e+00 6.542e-04 1.159e+00 3.519e-01 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
1.185e-01 2.056e-01 3.359e-03 3.463e+00 2.759e+01 3.837e+00 | 1.224e+00 6.891e-01 2.587e+00 3.255e+00 1.985e+00 1.720e-01 | -313.948 | 9.456
2.624e+00 8.919e+00 2.420e-03 2.951e+03 6.416e-03 1.468e+00 | 1.198e+00 7.113e-01 2.134e+00 2.951e+03 2.570e+00 1.903e-01 | -327.279 | 10.051
2.104e+01 3.326e-02 3.007e-02 2.122e-05 5.533e+03 1.449e+01 | 1.198e+00 7.113e-01 2.134e+00 1.304e+03 2.570e+00 1.903e-01 | -327.278 | 10.051
8.675e+00 1.402e+02 5.110e+01 1.698e+04 2.673e+01 5.588e+00 | 1.198e+00 7.113e-01 2.134e+00 1.691e+04 2.570e+00 1.903e-01 | -327.28 | 10.051
3.573e-01 9.451e+04 2.282e+03 6.931e+00 7.546e-04 2.104e+00 | 1.284e+00 7.183e-01 2.221e+00 3.044e+00 8.379e+03 1.879e-01 | -321.606 | 10.027
